Name,cls
C1=CC(=CC(=C1)NC(=O)CCCCCCC(=O)NO)C2=CN(N=N2)CC3=CC=C(C=C3)F,1
CC1=C(SC=N1)C2=CC=C(C=C2)[C@H](C)NC(=O)[C@@H]3C[C@H](CN3C(=O)[C@H](C(C)(C)C)NC(=O)CCCCCC(=O)N4CCN(CC4)CC[C@H](CSC5=CC=CC=C5)NC6=C(C=C(C=C6)S(=O)(=O)NC(=O)C7=CC=C(C=C7)N8CCN(CC8)CC9=C(CCC(C9)(C)C)C1=CC=C(C=C1)Cl)S(=O)(=O)C(F)(F)F)O,1
CC(C1=CC=C(C=C1)N2C(=C)CCC2=O)C(=O)NC3=NNC(=C3)C4CC4,1
COCCNC(=O)C1=CC=C(C=C1)NC2=NC=C3C=C(C=CC3=N2)C4=CC=NC=C4,1
CCN1/C(=C/C2=[N+](C=CS2)CC3=CC=CC=C3OC(F)(F)F)/S/C(=C/4\N(C5=C(S4)C=C(C=C5)C)C)/C1=O.[Cl-],1
CCN(CC)CCCNC1=NC2=NC(=C(C=C2C=N1)C3=C(C=CC=C3Cl)Cl)NC(=O)NC(C)C,1
COC1=CC=CC2=C1C=CC3=NC4=CC=CC(=C4N=C23)C(=O)NCCN5CCCC5,1
COC1=CC2=C(C=CN=C2C=C1OC)OC3=C(C=C(C=C3)N/C(=N\S(=O)(=O)CC4=CC=CC=C4)/CC5=CC=CC=C5)F,1
C1=CC2=C(C=C1OC(F)(F)F)C(=C(N2)O)C3=C(C4=C(N3)C=CC(=C4)Cl)N=O,1
CC1=CN=C(N=C1NCC2=CC=C(C=C2)N3C=CN=N3)C4=CC=CC=C4C(C)C,1
C1CCN2C(=C(C3=C2C(=NC=N3)N4CCN(CC4)CCC5=CC(=C(C=C5)F)F)C(=O)NC6=CN=CC=C6)C1,1
C1CC2=C(C(C3=CNC(=C3N2)C(=O)O)C4=CC=C(O4)SC5=NC6=CC=CC=C6N5)C(=O)C1,1
CC(C)(C)NCC1=CC=C(C=C1)C2=NC3=C4N2CCNC(=O)C4=CN=C3,1
